source_type,source_name,entity,document_type,procedure_text,has_tables,pages
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"procedimientos administrativos - ""registro nacional de identificacion y estado civil""   
pág",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"procedimientos administrativos – tupa 
de ""registro nacional de identificacion y estado civil""  
 
 
 
 
normas que aprueba o modifican el tupa  
 
 
 
aprueba  resolución del titular del 
organismo c",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"procedimientos administrativos - ""registro nacional de identificacion y estado civil""   
pág",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"procedimientos administrativos  n° 3 
1",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"procedimientos administrativos - ""registro nacional de identificacion y estado civil""   
pág",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"servicios (pvm)  n° 22  
 
 
n° 24  
 
 
n° 26  
• 4) canje de la libreta electoral por el documento nacional de identidad  n° 28  
• 5) renovación del documento nacional de identidad - mayores dni; m",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"servicios (pvm)
• 4) canje de la libreta electoral por el documento nacional de identidad n° 28
• 5) renovación del documento nacional de identidad - mayores dni; mayores dnie y n° 30
menores
• 6 a) r",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"solicitud del ad optado  n° 94  
• 15 a",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"solicitud de/los contrayentes 
en la oficina registral  
• 15 a",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"solicitud de la autoridad 
celebrante  n° 96  
 
 
n° 98  
• 15 b) inscripción de matrimonio celebrado en el extranjero  n° 100  
• 15 c)  inscripción de matrimonio por inminente peligro de muerte  n°",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"solicitud del adoptado n° 94
• 15 a",False,377
PDF,TUPA_INTEGRAL_SUT.pdf.pdf,RENIEC,TUPA,"solicitud de/los contrayentes n° 96
en la oficina registral
• 15 a",False,377
PDF,registro-nacional-identificacion-estado-civil.pdf,RENIEC,TUPA,"servicios internet  - consultas en linea via internet 
 anexo 08 
nivel 1 0",True,2
PDF,registro-nacional-identificacion-estado-civil.pdf,RENIEC,TUPA,"servicios internet - consultas en linea via internet
anexo 08
nivel 1 0",True,2
PDF,registro-nacional-identificacion-estado-civil.pdf,RENIEC,TUPA,solicitud del adoptado 7,True,2
PDF,registro-nacional-identificacion-estado-civil.pdf,RENIEC,TUPA,"solicitudes de acceso a la informacion publica
atencion desolicitudes deacceso alainformación publica -copia fotostatica
simple0",True,2
PDF,registro-nacional-identificacion-estado-civil.pdf,RENIEC,TUPA,solicitudes de acceso a la información publica - cd-rom 1,True,2
PDF,registro-nacional-identificacion-estado-civil.pdf,RENIEC,TUPA,solicitud del adoptado 7,True,2
PDF,registro-nacional-identificacion-estado-civil.pdf,RENIEC,TUPA,"solicitudes de acceso a la informacion publica
atencion de solicitudes de acceso a la información publica - copia fotostatica
01317 0",True,2
PDF,6253028-manual-de-usuario.pdf,"RENIEC, MTC",TUPA,trámite,True,17
PDF,6253028-manual-de-usuario.pdf,"RENIEC, MTC",TUPA,trámite,True,17
PDF,6253028-manual-de-usuario.pdf,"RENIEC, MTC",TUPA,trámite,True,17
PDF,6253028-manual-de-usuario.pdf,"RENIEC, MTC",TUPA,trámite,True,17
PDF,6253028-manual-de-usuario.pdf,"RENIEC, MTC",TUPA,trámite,True,17
PDF,_4950.00.pdf,RENIEC,TUPA,"procedimientos administrativos - tup a año 2023 
decreto supremo n° 309-2022-ef (uit - s/ 4,950",True,3
PDF,_4950.00.pdf,RENIEC,TUPA,"procedimientos administrativos - tup a año 2023 
decreto supremo n° 309-2022-ef (uit - s/ 4,950",True,3
PDF,_4950.00.pdf,RENIEC,TUPA,"procedimientos administrativos - tup a año 2023 
decreto supremo n° 309-2022-ef (uit - s/ 4,950",True,3
PDF,_4950.00.pdf,RENIEC,TUPA,"procedimientos administrativos - tupa año 2023
decreto supremo n° 309-2022-ef (uit - s/ 4,950",True,3
PDF,_4950.00.pdf,RENIEC,TUPA,"procedimientos administrativos - tupa año 2023
decreto supremo n° 309-2022-ef (uit - s/ 4,950",True,3
PDF,_4950.00.pdf,RENIEC,TUPA,"servicios internet  - consultas en linea via intern et 
 anexo 08 
nivel 1 0",True,3
PDF,_4950.00.pdf,RENIEC,TUPA,servicios  efectivo,True,3
PDF,_4950.00.pdf,RENIEC,TUPA,servicios efectivo2,True,3
PDF,_4950.00.pdf,RENIEC,TUPA,solicitud del adoptado 0,True,3
PDF,_4950.00.pdf,RENIEC,TUPA,"solicitudes de acceso a la informacion publica 
28",True,3
PDF,_4950.00.pdf,RENIEC,TUPA,"solicitudes de acceso a la información publica - copia fotostatica 
simple 0",True,3
PDF,_4950.00.pdf,RENIEC,TUPA,solicitudes de acceso a la información publica - cd-rom 0,True,3
PDF,_4950.00.pdf,RENIEC,TUPA,solicitud del adoptado 0,True,3
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"procedimiento administrativo  general  decreto supremo  004-2019 -jus 25/01/2019  
 
 denominación del procedimiento administrativo  
1 f) inscripción de personas naturalizadas peruanas: dni y dnie""  ",True,2
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"procedimientos de inscripción por el que se inscriben los hechos y actos relativos al estado ci vil de una persona 
en el registro  único  de identificación  de las personas  naturales  (ruipn),  corr",True,2
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"procedimiento administrativo  general , no limitan 
el derecho del administrado a presentar la documentación prohibida de exigir por parte de la s entidades (artículo  48°), en caso de ser 
considerad",True,2
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"procedimiento administrativo
01 f) inscripció0n de personas n0aturalizadas pe0ruanas: dni y dn0ie"" 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 5 5 5 5
9: 9: 9: 9: 9: 9: 9: 9: 9: 9: 9: 9: 9: 9:
4
0 código: p",True,2
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"procedimientos de inrscripción por el qrue se inscriben los hrechos y actos relativros al estado civil de urna persona r r r r r
o o en el roegistro único de ideontificación de las peorsonas naturales",True,2
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"servicio militar  ley 29248  28/06/2008  
artículo 25°  reglamento de la ley n° 29248  decreto supremo  003-13-de 03/06/2013  
artículos 1° al 10°  ley de firmas y certificados digitales  ley 27269  2",True,2
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"servicio militar 0 0 ley 0 0 29248 0 28/06/2008 0 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2
7/ 7/ 7/ 7/ 7/ 7/ 7/ 7/ 7/ 7/ 7/ 7/ 7/ 7/
2/ 0 artícu 2 lo/ 025° 2 re/ 0glamento de la ley n 2 °/ 029248 2/ 0 2 ",True,2
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"solicitud del 
certificado  digital de persona  natural",True,2
PDF,1650504-anexo-modificatoria-tupa-2024.pdf,RENIEC,RENIEC,"solicitud d0el 0 0 0 0 0
m
-
m
- certificado d
m
ig -it al de persona na
m
tu -r al",True,2
PDF,f-2119.pdf,"SUNAT, RENIEC",MANUAL,servicio,True,2
PDF,f-2119.pdf,"SUNAT, RENIEC",MANUAL,servicio,True,2
PDF,f-2119.pdf,"SUNAT, RENIEC",MANUAL,"solicitud de inscripción al ruc
 o comunicación de afectación de tributos
(incluye exoneraciones)registro único de contribuyentes
tipo   de   contribuyente
tipo nombretipo  de  solicitud   (marcar con",True,2
PDF,f-2119.pdf,"SUNAT, RENIEC",MANUAL,"solicitud de inscripción o comunicación de afectación de tributos  (incluye exoneraciones)
el presente formulario se utilizará cuando el contribuyente solicite su inscripción en el
registro único de c",True,2
PDF,f-2119.pdf,"SUNAT, RENIEC",MANUAL,"solicitud de inscripción al ruc (cid:4)(cid:5)(cid:6)(cid:7) (cid:7) (cid:5)(cid:4)(cid:8)(cid:9)(cid:10)
o comunicación de afectación de tributos
(incluye exoneraciones)
rubro i",True,2
PDF,f-2119.pdf,"SUNAT, RENIEC",MANUAL,"solicitud (marcar con ""x"") número de ruc
inscripción
afectación de tributos
rubro ii",True,2
PDF,f-2119.pdf,"SUNAT, RENIEC",MANUAL,"solicitud de inscripción o comunicación de afectación de tributos (incluye exoneraciones)
el presente formulario se utilizará cuando el contribuyente solicite su inscripción en el
registro único de co",True,2
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,"procedimientos administrativos - tupa año 2024
decreto supremo n° 309-2023-ef (uit - s/ 5150",True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,"procedimientos administrativos - tupa año 2024
decreto supremo n° 309-2023-ef (uit - s/ 5150",True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,"procedimientos administrativos - tupa año 2024
decreto supremo n° 309-2023-ef (uit - s/ 5150",True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,"servicios internet  - consultas en linea via internet 
 anexo 08 
nivel 1 0",True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,"servicios in2t4e rnet - consulta2s4 en linea via inte2r4n et 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4
2 0 2 0 anexo 08 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0
1/ 1/31 nivel 1 1/ 1/ 1/ 1/ 1/",True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,solicitud del adoptado 0,True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,"solicitudes de acceso a la informacion publica
28",True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,"solicitudes de acceso a la información publica - copia 
fotostatica simple0",True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,solicitudes de acceso a la información publica - cd-rom 0,True,3
PDF,1650504-tasas-tupa-2024.pdf,RENIEC,TUPA,solicitud d4e l0 adoptado 4 0 4 0 0,True,3
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,importacion para el consumo procedimiento general proc: despa-pg.01-a importación para el c,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,dores del comercio exterior que intervienen en el procedimiento del régimen de importación para el consumo iii.,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,to y seguimiento de lo establecido en el presente procedimiento es de responsabilidad de las intendencias de adua,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"icina de oficiales o el área de control acepta el trámite a despacho, registra la ged en el sistema informá",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,lamo o apelación. 16. no están comprendidos en el trámite previsto en el numeral 14 anterior el monto acota,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"a un procedimiento de reclamación, se sujetan al trámite establecido en el procedimiento general “reclamos",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,ación de la modalidad de despacho a través de una solicitud electrónica de rectificación de la declaración. l,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,a aceptación de la solicitud electrónica es automática y sin presentación físi,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,despacho de acuerdo al procedimiento específico “solicitud electrónica de rectificación de la declaración ún,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"amentarias del decreto legislativo n° 943, ley de registro único de contribuyentes, resolución de superinten",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,tador 2. el dueño o consignatario debe contar con registro único de contribuyentes (ruc) activo y no tener l,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"del manifiesto, tratándose de la vía aérea con el registro de llegada del medio de transporte; o -el despach",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"n cheque, el pago debe efectuarse mediante cheque certificado o de gerencia. 12.  para la cancelación, el perso",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"n el punto anterior. f) fotocopia autenticada del certificado de origen, cuando corresponda. g) la declaración",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"s tributarias, simplificación de procedimientos y permisos para la promoción y dinamización de la inversión",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"ado al depósito temporal o a la zona primaria con autorización especial (zpae). 7. en el despacho urgente, dentr",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,o su ingreso a un depósito temporal. solicitud de autorización especial de zona primaria 17.  la autoridad aduan,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"odalidad de despacho anticipado, la solicitud de “autorización especial de zona primaria” (anexo 2) debe ser pre",False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,or se deben consignar exactamente de acuerdo a su inscripción en la sunat; en caso contrario el sistema integra,False,1
ENLACE,Procedimientos - IMPORTACION PARA CONSUMO,SUNAT,WEB,"a, se deben consignar exactamente de acuerdo a su inscripción en la sunat; caso contrario el sigad rechaza la n",False,1
